,accuracy,batch_run,dataset,f1,f1_mean,f1_std,logloss,model,n_total_train,seed_initialization_run,selector,test_base_rate,test_positives,test_size,train_base_rate,train_fraction,train_positives,train_size
0,0.826,0,skewed_sklearn_10_to_1,0.4662576687116564,0.4662576687116564,,0.3864745867049014,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.36363636363636365,0.022,8.0,22.0
1,0.858,0,skewed_sklearn_10_to_1,0.5298013245033112,0.5298013245033112,,0.33110095071328133,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.28125,0.032,9.0,32.0
2,0.891,0,skewed_sklearn_10_to_1,0.5886792452830188,0.5886792452830188,,0.2762286121001756,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.21428571428571427,0.042,9.0,42.0
3,0.941,0,skewed_sklearn_10_to_1,0.7230046948356808,0.7230046948356808,,0.20014735070482934,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.17307692307692307,0.052,9.0,52.0
4,0.942,0,skewed_sklearn_10_to_1,0.7211538461538461,0.7211538461538461,,0.19551038185366837,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.14516129032258066,0.062,9.0,62.0
5,0.938,0,skewed_sklearn_10_to_1,0.712962962962963,0.712962962962963,,0.19557102847387603,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.1388888888888889,0.072,10.0,72.0
6,0.943,0,skewed_sklearn_10_to_1,0.7272727272727273,0.7272727272727273,,0.18821987310645646,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.15853658536585366,0.082,13.0,82.0
7,0.941,0,skewed_sklearn_10_to_1,0.7230046948356808,0.7230046948356808,,0.19047635861998288,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.14130434782608695,0.092,13.0,92.0
8,0.936,0,skewed_sklearn_10_to_1,0.6923076923076923,0.6923076923076923,,0.18703717384872526,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.13725490196078433,0.102,14.0,102.0
9,0.934,0,skewed_sklearn_10_to_1,0.6826923076923077,0.6826923076923077,,0.18768131246034805,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.125,0.112,14.0,112.0
10,0.939,0,skewed_sklearn_10_to_1,0.7081339712918662,0.7081339712918662,,0.18312415133741727,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12295081967213115,0.122,15.0,122.0
11,0.945,0,skewed_sklearn_10_to_1,0.7317073170731707,0.7317073170731707,,0.18035217339569626,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.13636363636363635,0.132,18.0,132.0
12,0.941,0,skewed_sklearn_10_to_1,0.7149758454106281,0.7149758454106281,,0.18167288761766928,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.13380281690140844,0.142,19.0,142.0
13,0.942,0,skewed_sklearn_10_to_1,0.7184466019417477,0.7184466019417477,,0.18158859694005117,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.125,0.152,19.0,152.0
14,0.946,0,skewed_sklearn_10_to_1,0.73,0.73,,0.17812608593896015,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.11728395061728394,0.162,19.0,162.0
15,0.95,0,skewed_sklearn_10_to_1,0.7448979591836734,0.7448979591836734,,0.17029353400851308,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12790697674418605,0.172,22.0,172.0
16,0.95,0,skewed_sklearn_10_to_1,0.7474747474747475,0.7474747474747475,,0.17067779943577857,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12637362637362637,0.182,23.0,182.0
17,0.947,0,skewed_sklearn_10_to_1,0.7336683417085427,0.7336683417085427,,0.16910636536844134,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.125,0.192,24.0,192.0
18,0.95,0,skewed_sklearn_10_to_1,0.7499999999999999,0.7499999999999999,,0.17225841362475386,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12871287128712872,0.202,26.0,202.0
19,0.952,0,skewed_sklearn_10_to_1,0.7575757575757577,0.7575757575757577,,0.17222595857296022,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12735849056603774,0.212,27.0,212.0
20,0.952,0,skewed_sklearn_10_to_1,0.7575757575757577,0.7575757575757577,,0.17249745183130297,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.13063063063063063,0.222,29.0,222.0
21,0.954,0,skewed_sklearn_10_to_1,0.7604166666666667,0.7604166666666667,,0.16927969721303,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.125,0.232,29.0,232.0
22,0.953,0,skewed_sklearn_10_to_1,0.7564766839378237,0.7564766839378237,,0.1695178917245306,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.11983471074380166,0.242,29.0,242.0
23,0.953,0,skewed_sklearn_10_to_1,0.758974358974359,0.758974358974359,,0.16591149268745306,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12301587301587301,0.252,31.0,252.0
24,0.953,0,skewed_sklearn_10_to_1,0.7539267015706805,0.7539267015706805,,0.16469312889312113,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.1183206106870229,0.262,31.0,262.0
25,0.952,0,skewed_sklearn_10_to_1,0.7525773195876289,0.7525773195876289,,0.1662710143431099,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.1213235294117647,0.272,33.0,272.0
26,0.953,0,skewed_sklearn_10_to_1,0.758974358974359,0.758974358974359,,0.16319980896295858,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12411347517730496,0.282,35.0,282.0
27,0.952,0,skewed_sklearn_10_to_1,0.7500000000000001,0.7500000000000001,,0.16121931046505353,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.1232876712328767,0.292,36.0,292.0
28,0.952,0,skewed_sklearn_10_to_1,0.7500000000000001,0.7500000000000001,,0.16073362589576085,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12582781456953643,0.302,38.0,302.0
29,0.952,0,skewed_sklearn_10_to_1,0.7500000000000001,0.7500000000000001,,0.16077305105289935,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12179487179487179,0.312,38.0,312.0
30,0.951,0,skewed_sklearn_10_to_1,0.7434554973821988,0.7434554973821988,,0.16131103549443543,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12732919254658384,0.322,41.0,322.0
31,0.951,0,skewed_sklearn_10_to_1,0.7434554973821988,0.7434554973821988,,0.16137786136395926,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12349397590361445,0.332,41.0,332.0
32,0.952,0,skewed_sklearn_10_to_1,0.7500000000000001,0.7500000000000001,,0.1598969495915416,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.11988304093567251,0.342,41.0,342.0
33,0.952,0,skewed_sklearn_10_to_1,0.7473684210526316,0.7473684210526316,,0.15994340737342408,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.1278409090909091,0.352,45.0,352.0
34,0.952,0,skewed_sklearn_10_to_1,0.7473684210526316,0.7473684210526316,,0.15983637675955456,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.1298342541436464,0.362,47.0,362.0
35,0.952,0,skewed_sklearn_10_to_1,0.7473684210526316,0.7473684210526316,,0.15982882592668776,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12634408602150538,0.372,47.0,372.0
36,0.955,0,skewed_sklearn_10_to_1,0.766839378238342,0.766839378238342,,0.16020214887295126,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.1256544502617801,0.382,48.0,382.0
37,0.952,0,skewed_sklearn_10_to_1,0.7500000000000001,0.7500000000000001,,0.15812374135806576,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.13010204081632654,0.392,51.0,392.0
38,0.952,0,skewed_sklearn_10_to_1,0.7500000000000001,0.7500000000000001,,0.15838377266787543,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.12935323383084577,0.402,52.0,402.0
39,0.952,0,skewed_sklearn_10_to_1,0.7525773195876289,0.7525773195876289,,0.15903272202213087,logistic_regression,1000.0,0.0,random,0.104,104.0,1000.0,0.13106796116504854,0.412,54.0,412.0
